org,analysis,notebook,index,cell,name,mark,total,percent
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,23,1.19,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,24,1.20,load,✔️,42,0.84
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,25,1.21,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,26,1.22,aggregate join,✔️,1,0.02
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,27,1.23,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,28,1.24,impute missing data,✔️,5,0.1
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,29,1.25,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,30,1.26,export,✔️,32,0.64
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,31,25,construct data pipeline,✔️,8,0.16
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,32,25.1,union datasets,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,33,25.2,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,34,25.3,export,✔️,32,0.64
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,0,ul,calculate a statistic,✔️,7,0.14
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,1,ul,calculate change over time,✔️,8,0.16
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,2,ul,compare groups,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,3,ul,calculate change over time,✔️,8,0.16
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,4,ul,calculate change over time,✔️,8,0.16
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,5,ul,compare groups,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,6,ul,extract data from pdf,✔️,1,0.02
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,7,1,annotations,✔️,5,0.1
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,8,2,load,✔️,42,0.84
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,9,3,peek at data,✔️,19,0.38
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,10,6,show trend over time,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,11,6,combine categorical values,✔️,12,0.24
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,12,6.1,remove variables,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,13,6.2,group by variable,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,14,6.3,trim by date range,✔️,16,0.32
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,15,6.4,sort,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,16,6.5,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,17,6.6,trim by date range,✔️,16,0.32
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,18,6.7,remove variables,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,19,7,lookup table values,✔️,6,0.12
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,20,9,lookup table values,✔️,6,0.12
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,21,9,trim by date range,✔️,16,0.32
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,22,9,trim by quantitative threshold,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,23,11.1,sort,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,24,11.3,remove variables,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,25,11.2,assign ranks,✔️,3,0.06
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,26,12,compare groups,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,27,12,lookup table values,✔️,6,0.12
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,28,12,lookup table values,✔️,6,0.12
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,29,14,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,30,15,trim by categorical value,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,31,15.2,sort,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,32,16,sort,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,33,15.1,remove variables,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,34,17,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,35,17.1,combine categorical values,✔️,12,0.24
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,36,18.1,trim by categorical value,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,37,18.2,group by variable,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,38,18.3,aggregate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,39,18.4,sort,✔️,22,0.44
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,40,18.6,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,41,18.5,group by variable,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,42,21,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,43,21.1,visualize data,✔️,26,0.52
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,44,21.3,combine categorical values,✔️,12,0.24
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,45,21.5,gather,✔️,6,0.12
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,46,21.2,create child table,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,47,21.4,remove variables,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,48,21.6,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,49,21.8,trim by date range,✔️,16,0.32
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,50,21.7,create child table,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,51,21.9,create child table,✔️,18,0.36
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,52,21.10,group by variable,✔️,27,0.54
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,53,21.11,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,02_analysis.ipynb,54,21.12,visualize data,✔️,26,0.52
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,0,2,load,✔️,42,0.84
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,1,2.1,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,2,3,count the data,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,3,4,count the data,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,4,5,count the data,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,5,3,group by variable,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,6,3.1,aggregate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,7,3.2,figure a rate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,8,8,count the data,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,9,9,compare groups,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,10,10,compare groups,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,11,11,count number of rows,✔️,7,0.14
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,12,12,count number of rows,✔️,7,0.14
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,13,13,group by variable,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,14,13.1,get extreme values,✔️,3,0.06
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,15,13.2,trim by quantitative threshold,✔️,18,0.36
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,16,13.3,remove variables,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,17,13.4,deduplicate,✔️,10,0.2
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,18,13.5,assign ranks,✔️,3,0.06
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,19,13,compare groups,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,20,14,group by variable,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,21,14.1,aggregate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,22,14.2,figure a rate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,23,14.3,generate dataset identification,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,24,14.4,visualize data,✔️,26,0.52
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,25,16,group by variable,✔️,27,0.54
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,26,16.3,create child table,✔️,18,0.36
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,27,16.1,aggregate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,28,16.2,figure a rate,✔️,23,0.46
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,29,16.5,trim by geographic area,✔️,11,0.22
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,30,16.6,create child table,✔️,18,0.36
baltimore-sun-data,school-star-ratings-2018,analysis.ipynb,31,16.7,visualize data,✔️,26,0.52
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,0,p,geolocate dataset records,✔️,3,0.06
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,1,2.1,load,✔️,42,0.84
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,2,2.2,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,3,3,inspect data schema,✔️,4,0.08
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,4,4.1,load,✔️,42,0.84
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,5,4,change var type,✔️,34,0.68
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,6,5,inspect data schema,✔️,4,0.08
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,7,14,load,✔️,42,0.84
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,8,14.1,change var type,✔️,34,0.68
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,9,14.2,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,10,4,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,11,14.4,inspect data schema,✔️,4,0.08
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,12,16,align variables,✔️,8,0.16
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,13,17,remove duplicate variables,✔️,2,0.04
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,14,16.1,outer join,✔️,24,0.48
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,15,22,outer join,✔️,24,0.48
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,16,22,geolocate dataset records,✔️,3,0.06
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,17,24,select rows with missing values,✔️,2,0.04
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,18,25,construct data manually,✔️,7,0.14
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,19,25,load,✔️,42,0.84
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,20,26,outer join,✔️,24,0.48
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,21,27,impute missing data,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,22,27,fill in na values after an outer join,✔️,5,0.1
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,23,28,remove variables,✔️,31,0.62
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,24,29,peek at data,✔️,19,0.38
baltimore-sun-data,school-star-ratings-2018,mapping.ipynb,25,30,export,✔️,32,0.64
bbc,electric-car-charging-points,calculatingnearestpoints.nb,0,headline,perform network analysis,✔️,2,0.04
bbc,electric-car-charging-points,calculatingnearestpoints.nb,1,headline,perform network analysis,✔️,2,0.04
bbc,electric-car-charging-points,calculatingnearestpoints.nb,2,2,domain-specific performance metric,✔️,4,0.08
bbc,electric-car-charging-points,calculatingnearestpoints.nb,3,3,construct a subroutine,✔️,14,0.28
bbc,electric-car-charging-points,calculatingnearestpoints.nb,4,7,generate data computationally,✔️,4,0.08
bbc,electric-car-charging-points,calculatingnearestpoints.nb,5,8,concat parallel datasets,✔️,5,0.1
bbc,electric-car-charging-points,calculatingnearestpoints.nb,6,8.2,concat parallel datasets,✔️,5,0.1
bbc,electric-car-charging-points,calculatingnearestpoints.nb,7,8.3,concat parallel datasets,✔️,5,0.1
bbc,electric-car-charging-points,calculatingnearestpoints.nb,8,9,export,✔️,32,0.64
bbc,electric-car-charging-points,README.md,0,line 9,use public data,✔️,2,0.04
bbc,internal-migration-london,convert_matrix_to_table.nb,0,1,remove variables,✔️,31,0.62
bbc,internal-migration-london,convert_matrix_to_table.nb,1,1.1,create child table,✔️,18,0.36
bbc,internal-migration-london,convert_matrix_to_table.nb,2,3,canonicalize variable names,✔️,31,0.62
bbc,internal-migration-london,convert_matrix_to_table.nb,3,4,change var type,✔️,34,0.68
bbc,internal-migration-london,convert_matrix_to_table.nb,4,5,generate data computationally,✔️,4,0.08
bbc,internal-migration-london,convert_matrix_to_table.nb,5,5.1,cartesian product,✔️,2,0.04
bbc,internal-migration-london,convert_matrix_to_table.nb,6,6,concat parallel datasets,✔️,5,0.1
bbc,internal-migration-london,convert_matrix_to_table.nb,7,6.1,canonicalize variable names,✔️,31,0.62
bbc,internal-migration-london,convert_matrix_to_table.nb,8,7,export,✔️,32,0.64
bbc,internal-migration-london,convert_matrix_to_table.nb,9,8,construct a subroutine,✔️,14,0.28
bbc,internal-migration-london,convert_matrix_to_table.nb,10,9,concat parallel datasets,✔️,5,0.1
bbc,internal-migration-london,README.md,0,line 5,perform network analysis,✔️,2,0.04
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,0,3,load,✔️,42,0.84
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,1,3,inspect data schema,✔️,4,0.08
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,2,page 1,annotations,✔️,5,0.1
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,3,first paragraph,freedom of information data,✔️,1,0.02
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,4,5,inspect data schema,✔️,4,0.08
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,5,8,peek at data,✔️,19,0.38
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,6,12,canonicalize variable names,✔️,31,0.62
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,7,13,calculate a statistic,✔️,7,0.14
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,8,16,canonicalize variable names,✔️,31,0.62
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,9,16.1,calculate a statistic,✔️,7,0.14
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,10,42,test for equality,✔️,3,0.06
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,11,53,compare groups,✔️,27,0.54
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,12,38,inspect data schema,✔️,4,0.08
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,13,68,change var type,✔️,34,0.68
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,14,68,change var type,✔️,34,0.68
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,15,75,inspect data schema,✔️,4,0.08
bbc,midwife-led-units,midwife-led-units_calculate_transferrals.ipynb,16,76,calculate a statistic,✔️,7,0.14
buffalonews,new-york-schools-assessment,combine-csv.ipynb,0,paragraph 1,combine periodic data,✔️,5,0.1
buffalonews,new-york-schools-assessment,combine-csv.ipynb,1,158,change var type,✔️,34,0.68
buffalonews,new-york-schools-assessment,combine-csv.ipynb,2,159,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,combine-csv.ipynb,3,159.1,create a unique key,✔️,11,0.22
buffalonews,new-york-schools-assessment,combine-csv.ipynb,4,169,construct a subroutine,✔️,14,0.28
buffalonews,new-york-schools-assessment,combine-csv.ipynb,5,169.1,generate data computationally,✔️,4,0.08
buffalonews,new-york-schools-assessment,combine-csv.ipynb,6,169,combine categorical values,✔️,12,0.24
buffalonews,new-york-schools-assessment,combine-csv.ipynb,7,169,replace variable levels,✔️,3,0.06
buffalonews,new-york-schools-assessment,combine-csv.ipynb,8,169,parse variable,✔️,15,0.3
buffalonews,new-york-schools-assessment,combine-csv.ipynb,9,169,replace variable levels,✔️,3,0.06
buffalonews,new-york-schools-assessment,grad-rates.ipynb,0,first paragraph,compare groups,✔️,27,0.54
buffalonews,new-york-schools-assessment,grad-rates.ipynb,1,49.1,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,2,49.2,change var type,✔️,34,0.68
buffalonews,new-york-schools-assessment,grad-rates.ipynb,3,49.3,trim by geographic area,✔️,11,0.22
buffalonews,new-york-schools-assessment,grad-rates.ipynb,4,49.7,create child table,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,5,49.4,trim by categorical value,✔️,22,0.44
buffalonews,new-york-schools-assessment,grad-rates.ipynb,6,49.5,trim by categorical value,✔️,22,0.44
buffalonews,new-york-schools-assessment,grad-rates.ipynb,7,49.6,trim by categorical value,✔️,22,0.44
buffalonews,new-york-schools-assessment,grad-rates.ipynb,8,49,outer join,✔️,24,0.48
buffalonews,new-york-schools-assessment,grad-rates.ipynb,9,49.8,export,✔️,32,0.64
buffalonews,new-york-schools-assessment,grad-rates.ipynb,10,58,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,11,58,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,12,59.2,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,13,59.2,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,14,60,impute missing data,✔️,5,0.1
buffalonews,new-york-schools-assessment,grad-rates.ipynb,15,61,impute missing data,✔️,5,0.1
buffalonews,new-york-schools-assessment,grad-rates.ipynb,16,67,create lookup table,✔️,6,0.12
buffalonews,new-york-schools-assessment,grad-rates.ipynb,17,67,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,grad-rates.ipynb,18,68,generate data computationally,✔️,4,0.08
buffalonews,new-york-schools-assessment,grad-rates.ipynb,19,68.1,figure a rate,✔️,23,0.46
buffalonews,new-york-schools-assessment,grad-rates.ipynb,20,68.2,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,21,68.2,figure a rate,✔️,23,0.46
buffalonews,new-york-schools-assessment,grad-rates.ipynb,22,68.3,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,23,69,sort,✔️,22,0.44
buffalonews,new-york-schools-assessment,grad-rates.ipynb,24,70,construct a subroutine,✔️,14,0.28
buffalonews,new-york-schools-assessment,grad-rates.ipynb,25,70,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,26,70.1,sort,✔️,22,0.44
buffalonews,new-york-schools-assessment,grad-rates.ipynb,27,70.2,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,28,70.3,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,grad-rates.ipynb,29,71,change var type,✔️,34,0.68
buffalonews,new-york-schools-assessment,grad-rates.ipynb,30,76,construct data pipeline,✔️,8,0.16
buffalonews,new-york-schools-assessment,grad-rates.ipynb,31,77,export,✔️,32,0.64
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,0,13,change var type,✔️,34,0.68
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,1,14,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,2,14,trim by geographic area,✔️,11,0.22
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,3,14,trim by categorical value,✔️,22,0.44
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,4,14,create lookup table,✔️,6,0.12
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,5,14,replace na values,✔️,12,0.24
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,6,14,replace variable levels,✔️,3,0.06
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,7,15-25,repetitive code,✔️,17,0.34
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,8,28,impute missing data,✔️,5,0.1
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,9,29,calculate change over time,✔️,8,0.16
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,10,29,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,11,81,union datasets,✔️,18,0.36
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,12,82,load,✔️,42,0.84
buffalonews,new-york-schools-assessment,percent-proficiency.ipynb,13,82,export,✔️,32,0.64
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,0,paragraph 1,govt data portal,✔️,11,0.22
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,1,2,load,✔️,42,0.84
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,2,3,test for equality,✔️,3,0.06
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,3,3,tolerate dirty data,✔️,4,0.08
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,4,3,make an incorrect conclusion,✔️,1,0.02
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,5,4,load,✔️,42,0.84
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,6,4.1,create a unique key,✔️,11,0.22
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,7,6,construct a subroutine,✔️,14,0.28
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,8,6,trim by geographic area,✔️,11,0.22
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,9,6.1,group by variable,✔️,27,0.54
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,10,6.2,aggregate,✔️,23,0.46
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,11,9,wrangle data for graphics,✔️,20,0.4
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,12,9,visualize data,✔️,26,0.52
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,13,10,visualize data,✔️,26,0.52
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,14,11,compare groups,✔️,27,0.54
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,15,11,visualize data,✔️,26,0.52
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,16,12,group by variable,✔️,27,0.54
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,17,12,aggregate,✔️,23,0.46
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,18,12,sort,✔️,22,0.44
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,19,13,trim by categorical value,✔️,22,0.44
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,20,13.1,create child table,✔️,18,0.36
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,21,16,figure a rate,✔️,23,0.46
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,22,16,visualize data,✔️,26,0.52
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,23,17,group by variable,✔️,27,0.54
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,24,17.1,aggregate,✔️,23,0.46
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,25,18,sort,✔️,22,0.44
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,26,18.1,trim by quantitative threshold,✔️,18,0.36
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,27,19,group by variable,✔️,27,0.54
buzzfeednews,2015-11-refugees-in-the-united-states,us-refugee-analysis.ipynb,28,19.1,aggregate,✔️,23,0.46
