parent,name,desc,level,is_leaf,analysis
data acquisition,use open government data,"Data publically available on open data portals, such as data.gov",2,True,10
data acquisition,freedom of information data,Data that was obtained via FOI/FOIA requests.,2,True,1
data acquisition,use another news orgs data,A dataset previously published by another news organization,2,True,2
data acquisition,use data from colleague,A dataset was provided by another journalist.,2,True,1
observations,workflow building,Codes pertaining to how the wrangling workflow is built.,1,False,16
workflow building,annotate workflow,Adding comments or notes in Markdown that explain what the journalists doing.,2,True,5
workflow building,think computationally,Codes that demonstrate computational thinking on the part of the journalist.,2,False,12
think computationally,architect a subroutine,A set of instructions grouped together to be performed multiple times.,3,True,7
think computationally,architect repeating process,Instances where journalists employed a loop.,3,True,8
workflow building,toggle step on and off,Some wrangling steps were not always run. Toggling off is often accomplished by commenting out code.,2,True,3
observations,wrangling purpose,Why does this data need to be wrangled?,1,False,29
wrangling purpose,input for downstream applications,Output from wrangling will be input into some other program,2,False,23
input for downstream applications,wrangle data for graphics,"Data need to be formatted in order to be visualized in an article, including tables.",3,True,22
input for downstream applications,wrangle data for model,"Data is being wrangled in order to create a model, whether the main point of the piece is for prediction or classification",3,True,1
wrangling purpose,remove erroneous data,There are errors in the data that need to be removed,2,True,2
wrangling purpose,creating new datasets,,2,False,7
creating new datasets,combine drifting datasets,"Reconcile difference in periodically published datasets that have superficially changed over time, such as schema differences or entity names, to consolidate more than one dataset.",3,True,3
creating new datasets,combine seemingly disparate datasets,When a notebook largely constitutes combining seemingly unrelated datasets.,3,True,2
creating new datasets,combine data and geography,Pairing data with GIS info.,3,True,2
wrangling purpose,aggregate the forest from the trees,Data of individual observations is aggregated in an attempt to find some meaningful structure or patterns,2,True,2
observations,analysis,Kinds of analysis data journalists need to wrangle data to perform.,1,False,29
analysis,interpret statistical/ml model,Analyze features from a model such as linear regression or classification trees,2,True,5
analysis,compare different groups along a common metric,The end analysis is just comparing different groups by a common metric.,2,True,12
analysis,show trend over time,Analysis consists of showing how values change over time,2,True,7
analysis,calculate a statistic,"Calculate a single value for from a dataset, such as number of records.",2,True,6
analysis,explain variance,This can be done via PCA,2,True,1
analysis,answer a question,Analysis consists of using data to answer a specific question,2,True,6
analysis,outlier detection,Finding extreme cases or outliers in the data,2,True,4
analysis,find nearest neighbours in the network,(Network analysis) Find the closest neighbours for all points,2,True,1
analysis,explore dynamic network flow,"(Network analysis) explore the flow between different nodes in the graph, e.g. migration between cities.",2,True,3
observations,strategies,General strategies journalists employ when wrangling data.,1,False,14
strategies,tables evolve,Data and objects are destroyed during the wrangling process.,2,False,6
tables evolve,value replacement,The output of any column calculation is reassigned to an existing column.,3,True,1
tables evolve,temporary joining column,When a key for joining two tables is created and destroyed immediately after the join.,3,True,1
tables evolve,refine table,"Table refinement refers to when a table is subset *in place*, a new object is not created in the environment.",3,True,6
strategies,data is precious,Data and objects are neverly actually lost in the programming environment.,2,False,2
data is precious,preserve existing values,The output of any column calculation is assigned to a new column,3,True,2
data is precious,create child table,A child table is a subset of the parent table declared as a new object in the environment.,3,True,1
strategies,set data confidence threshold,"Removes rows where a quantitative value is less than, greater than, or not equal to a numeric value.",2,True,1
strategies,table splitting,"Tables may be divided, partitioned, or otherwise split into multiple tables to accomplish a transformation goal.",2,False,10
table splitting,"split, compute, and merge","First, the journalist partitions a single data frame into multiple, separate data frames. Then, often identical computations are run on all the data frame. Finally, the multiple data frames are consolidated into one data frame again.",3,True,7
table splitting,split and compute,One table is split into two or more and identical computations are applied to each table.,3,True,3
strategies,tolerate dirty data,Analysis continues despite clear data quality issues.,2,True,4
observations,pain points,Areas where journalist seem/could be frustrated in the wrangling process.,1,False,18
pain points,fix incorrect calculation,Calculations in the data are incorrect and the journalist must recalculate them,2,True,1
pain points,repetitive code,Instances where code is repetitively copied and pasted.,2,True,13
pain points,make an incorrect conclusion,Instances where the journalist has made an incorrect conclusion about the data.,2,True,1
pain points,post-merge clean up,Pain points that come from the result of merging two datasets together,2,False,4
post-merge clean up,resort after merge,When a sort has to be re-done because a merge ruining the pre-merged order.,3,True,1
post-merge clean up,fill in na values after an outer join,"As outer joins do not drop non-matching rows, those values have NA",3,True,3
pain points,encode redundant information,When data that already exists in the table is recoded into the table.,2,True,1
pain points,post-aggregation clean up,Pain points that come from the result of grouping a table.,2,False,2
post-aggregation clean up,data loss from aggregation,When table columns are lost because they were dropped form resulting table due to not being relevant in aggregation.,3,True,1
post-aggregation clean up,silently dropping values after groupby,Values other than thsoe being grouped and calculated upon are lost in a group by operation,3,True,1
pain points,data too large for repo,Raw data cannot be included in SCM because files are too large,2,True,1
